ori,des,link_type,junction_point_near,junction_point_far
floor1-room1,world,door,"[-1125.0, -810.0, 460.0]","[-1125.0, -670.0, 460.0]"
world,floor1-room1,door,"[-1125.0, -670.0, 460.0]","[-1125.0, -810.0, 460.0]"
floor2-platform3,floor2-room2,door,"[159.99995206315782, 249.99990412617205, 1040.0]","[279.99995206307165, 250.00004793687089, 1040.0]"
floor2-room2,floor2-platform3,door,"[279.99995206307165, 250.00004793687089, 1040.0]","[159.99995206315782, 249.99990412617205, 1040.0]"
floor2-platform3,floor2-platform1,door,"[160.00031827409532, -149.99951603984357, 1040.0]","[280.00031827400915, -149.99937222914474, 1040.0]"
floor2-platform1,floor2-platform3,door,"[280.00031827400915, -149.99937222914474, 1040.0]","[160.00031827409532, -149.99951603984357, 1040.0]"
floor2-room2,floor2-platform1,door,"[770.0000368491502, 120.00110691106154, 1040.0]","[770.0001646808596, 0.0011069111296251322, 1040.0]"
floor2-platform1,floor2-room2,door,"[770.0001646808596, 0.0011069111296251322, 1040.0]","[770.0000368491502, 120.00110691106154, 1040.0]"
floor1-room1,world,door,"[769.9995974267176, 120.00132662018417, 460.0]","[770.0003843908197, 0.0013266227646369089, 460.0]"
world,floor1-room1,door,"[770.0003843908197, 0.0013266227646369089, 460.0]","[769.9995974267176, 120.00132662018417, 460.0]"
floor2-platform3,world,window,"[-143.0, -680.0, 1010.0]","[-143.0, -720.0, 1010.0]"
floor2-room2,world,window,"[959.9999786947226, 439.99995738941686, 1010.0]","[999.9999786947169, 439.9999786947056, 1010.0]"
floor2-platform3,floor2-platform2,window,"[115.00004261058311, 839.9999786947226, 1010.0]","[115.0000213052944, 879.9999786947169, 1010.0]"
floor2-platform2,floor2-platform3,window,"[115.0000213052944, 879.9999786947169, 1010.0]","[115.00004261058311, 839.9999786947226, 1010.0]"
floor2-room2,floor2-platform2,window,"[720.0000426105831, 840.0002228353476, 1010.0]","[720.0000213052944, 880.0002228353419, 1010.0]"
floor2-platform2,floor2-room2,window,"[720.0000213052944, 880.0002228353419, 1010.0]","[720.0000426105831, 840.0002228353476, 1010.0]"
floor1-room1,world,window,"[-1359.9994744345295, -290.0010545818627, 460.0]","[-1399.9994744345122, -290.001091866118, 460.0]"
world,floor1-room1,window,"[-1399.9994744345122, -290.001091866118, 460.0]","[-1359.9994744345295, -290.0010545818627, 460.0]"
floor1-room1,world,window,"[115.00004261058311, 839.9999786947226, 460.0]","[115.0000213052944, 879.9999786947169, 460.0]"
world,floor1-room1,window,"[115.0000213052944, 879.9999786947169, 460.0]","[115.00004261058311, 839.9999786947226, 460.0]"
floor1-room1,world,window,"[720.0003834956566, 840.0000523939457, 460.0]","[720.0001917480581, 880.0000523934862, 460.0]"
